mean,variance,rms,hjorth_activity,hjorth_mobility,hjorth_complexity,delta_power,theta_power,alpha_power,beta_power,gamma_power,spectral_entropy,label
-32.67017704517704,31417.823584017347,172.0693685810217,31417.823584017347,0.3341688656257445,4.259557106187748,2195023.009428135,932511.880191054,231948.9685534737,186929.87864274145,82633.79938321566,2.5408114343325705,1
0.6299603174603173,8494.690496305222,90.71404261405657,8494.690496305222,0.2320711288620529,2.3270877846327775,289731.50411882444,379549.9267436903,272276.1845832405,122310.60759488268,11782.66532290764,3.231325762180151,1
-0.1942155067155069,2867.4369563427767,46.55086191861944,2867.4369563427767,0.1360917252784604,6.568807284965791,310895.2006740087,45719.476038167144,4788.860572460328,3010.7637777601512,405.69116146817464,2.1325860325928363,1
2.743437118437118,7340.099692096457,77.18688996580099,7340.099692096457,0.1666612477592494,5.254615241125956,380108.67522786267,505776.0306039812,24777.403299365193,9448.24722565322,1668.7420076177057,2.289846967502674,1
-7.10393772893773,3609.853310502921,58.463041102382675,3609.853310502921,0.352753322196474,4.329422578538836,248862.1586414335,137824.4135841691,16018.967074092305,11146.114688593218,6185.340236537966,2.923148200809093,1
-25.166940339354127,20148.214241294205,131.53437862655684,20148.214241294205,0.1121289403802867,7.934577354112904,1780485.3990911648,276669.2457970841,75853.17917747582,70909.33112574057,17355.38794474875,1.8590766958669085,0
-5.206997863247864,3678.3180990916935,58.29776919324476,3678.3180990916935,0.1764323705654655,7.018421561737203,342799.5424850123,79654.5875302287,12932.735454013924,5595.345036586126,1817.7936647798565,2.4859949028084194,1
1.6239316239316235,990.1373475542146,30.14051590280664,990.1373475542146,0.2805478945638455,2.529375277261429,18287.240930194297,61623.23208531701,20820.382787168935,22574.44412370749,1569.149888849883,3.261216627986194,0
-3.203220390720391,3205.1175621910224,52.677463046897344,3205.1175621910224,0.6577917387070349,2.484390680223679,205369.06408012152,46463.65921592551,10705.33661719992,33850.849003583106,32130.462626985915,3.789344681058953,1
-0.1205738705738712,93.42378033355024,9.709574564990142,93.42378033355024,0.4921505872877709,3.3033180562012676,3375.6930235888503,3487.783308132857,2039.9378641741848,1223.6342868486513,578.4045870754541,3.4695502853760245,0
